azonosito;nev;hosszusag;szelesseg;kategoria;atlagos_ido;leiras
1;Salgói vár;19.846984;48.144734;műemlékek;1;Salgóbánya kicsiny településének közelében, a Medves-fennsík 625 méter magas vulkáni csúcsát koronázza meg Salgó vára. Ebből a középkori várromból elképesztő kilátás nyílik a környező zöld erdőkre, és a Medves-fennsíkra.
2;Boszorkánykő;19.849476;48.140213;természeti kincsek;0.5;Különös formájú szikla, ahol mélyből felszakított üledékzárványokat, hajlott lávalemezeket és bazaltoszlopokat láthatunk.
3;Kercseg-lapos;19.796416;48.144555;természeti kincsek;2;A Karancs közkedvelt kirándulóhelye, évszázados, szép formájú gyertyánokkal, tölgyekkel és mezei juharokkal, jó vízű forrással.
4;Medves-fennsík;19.872055;48.145222;természeti kincsek;1;A Medves-fennsík egy 520-570 méteres tengerszint feletti magasságban található bazalttakaró.
5;Szilváskő;19.902222;48.118111;természeti kincsek;2.5;628 méter magas képződmény hatalmas dómként magasodik Szilváskő-puszta és a Bárna–patak völgyfője fölé.
6;Baglyaskő-Vár Természetvédelmi Látogatóközpont;19.789694;48.108888;múzeumok, információ;1.5;Az egykor a Kacsics nemzetség által emelt Baglyaskő várának maradványai mellett található látogatóközpont vidékünk történelmi és természeti értékeit mutatja be.
7;Bányamúzeum;19.799833;48.103638;múzeumok, információ;2;Az ország első, föld alatti bányamúzeuma, mely egy egykor működő bányarendszerben kapott helyet
8;Geocsodák Háza;19.862166;48.144638;múzeumok, információ;1;A salgóbányai Geocsodák Háza a területre jellemző értékek bemutatásán túl, komplex szolgáltató szerepet lát el a térségben.
9;Novohrad-Nógrád Geopark Eresztvényi Látogatóközpont;19.852694;48.156166;múzeumok, információ;1.5;A világ első határon átnyúló geoparkja, amelynek küldetése, hogy az egykor szétszakadt nógrádi tájat a geoturizmus komplex térségfejlesztési lehetőségeivel újra egyesítse.
10;Uránia Észlelő és bemutató Csillagvizsgáló;19.820805;48.126277;múzeumok, információ;2;A távcsöves bemutatók alkalmával különféle nagyításokban láthatók a Hold kráterei, a bolygók, és a csillagos égbolt megannyi érdekessége. Előadásaink elsősorban az ismeretterjesztést, a tanulást segítik, megismertetve ezzel is a csillagászat és az űrkutatás legújabb eredményeit.
11;Vadaspark;19.851611;48.170611;múzeumok, információ;1.5;A környék növényevő és mindenevő nagyvadjai egy helyen tekinthetők meg.
